system,tau,A0,A1,A2,theta_w_inner,theta_w_outer,theta_e,s_R
1,0.1,2,0,-1,1.0,0.5,"(2.4471587630476663) + (- (20.0*(-0.40855716127979214)*std::log(R)) + ((5.0/4.0)*std::pow(R, 4)) - (2.0*std::pow(R, 2)*(24.0*std::pow(tau, 2) + 5.0)))/(tau*75.0)","(-0.40855716127979214)/R + ( pow(R,2) - (pow(R,4)/4)) /R"
1,10.0,2,0,-1,1.0,0.5,"(13.827308558560057) + (- (20.0*(-0.23487596350870713)*std::log(R)) + ((5.0/4.0)*std::pow(R, 4)) - (2.0*std::pow(R, 2)*(24.0*std::pow(tau, 2) + 5.0)))/(tau*75.0)","(-0.23487596350870713)/R + ( pow(R,2) - (pow(R,4)/4)) /R"
2,100.0,2,0,-1,1.0,0.5,"0.000625*(223878.98943374405 - 106674.66666666667*std::pow(R,2) + std::pow(R,4) + 3.972412068014572*std::log(R))","-0.24827575425091075/R + R - std::pow(R,3)/4."
2,0.01,1,0,0,1.0,1.0,"77.26748929184684 - 0.25*std::pow(R,2) + 0.49360872123410277*std::log(R)","0. - 0.49360872123410277/R + R/2."
2,0.1,0,0,0,1.0,0.5,"(-67 + 200*std::log(5) - 400*std::log(20) + 200*std::log(10*R))/ (5.*(-23 + 80*std::log(5) - 80*std::log(20)))","-4/(R*(-23 + 80*std::log(5) - 80*std::log(20)))"
2,0.1,2,0,-1,1.0,0.5,"(-76*std::pow(R,2))/15. + (5*std::pow(R,4))/8. + (11*(-36817 + 148480*std::log(5) - 24880*std::log(20)))/(1920.*(-23 + 80*std::log(5) - 80*std::log(20))) - (5665*std::log(10*R))/(8.*(-23 + 80*std::log(5) - 80*std::log(20)))","R - std::pow(R,3)/4. + 1133/(16.*R*(-23 + 80*std::log(5) - 80*std::log(20)))"
2,0.1,2,0,0,1.0,0.5,"-(5273 - 21632*std::log(5) + 60*std::pow(R,2)*(-23 + 80*std::log(5) - 80*std::log(20)) + 1712*std::log(20) + 19920*std::log(10*R))/(12.*(-23 + 80*std::log(5) - 80*std::log(20)))","R + 166/(R*(-23 + 80*std::log(5) - 80*std::log(20)))"
2,0.1,1,0,0,1.0,0.5,"7.036395447356292 - 2.5*std::pow(R,2) + 6.049130188983095*std::log(R)","0. - 0.6049130188983095/R + R/2."
2,0.1,1,0,0,1.0,1.0,"9.73961676589525 - 0.25*std::pow(R,2) + 0.44589091940037223*std::log(R)","0. - 0.44589091940037223/R + R/2."
2,0.1,0,0,0,1.0,1.0,"1. + 3.230519938209405e-18*std::log(R)","0. - 3.230519938209405e-18/R"
2,0.1,2,0,-1,1.0,1.0,"6.995305054386943 - 5.066666666666666*std::pow(R,2) + 0.625*std::pow(R,4) + 5.587043855102441*std::log(R)","0. - 0.5587043855102442/R + R - std::pow(R,3)/4."
2,1.0,2,0,-1,1.0,1.0,"(-896*std::pow(R,2) + 48*std::pow(R,4) + (5*(12449 + 2692*std::log(2)))/(25 + std::log(256)) + (7020*std::log(R))/(25 + std::log(256)))/768.","R - std::pow(R,3)/4. - 585/(64.*R*(25 + std::log(256)))"
